age,weight,height,gender,activity_level,goal,target_calories,protein_ratio,carb_ratio,fat_ratio,exercise_intensity
24,102.04877042773276,186.24017678995392,male,light,loss,2368.8728180520047,0.43715975386338873,0.3530832242736116,0.20975702186299966,2.7733309071996093
38,133.42206398929807,191.24822585417832,male,sedentary,gain,3329.850121503802,0.3572592138960642,0.4702862704122339,0.17245451569170195,2.096604747528216
26,96.86068237313908,209.43966823775128,male,light,loss,2552.7714096288887,0.33545670039831377,0.45661173639517094,0.20793156320651532,1.492157151288448
56,100.54536547260449,182.79251917652192,male,light,gain,3173.9948732123594,0.3006103091107723,0.42902190043994115,0.2703677904492866,1.603506819257238
35,95.01181339331112,206.04920792657634,male,extra,gain,4777.881746077985,0.3413352158613273,0.35640645524903136,0.3022583288896414,5.0
21,113.64082659653108,175.5614053389436,female,moderate,gain,3181.052650341385,0.32982704663874957,0.39404766783892053,0.2761252855223299,2.721142360850764
42,143.28215081899435,172.91162527478562,male,moderate,gain,3923.7173989825606,0.26032230856002736,0.4909501970264142,0.24872749441355846,2.191847216003352
31,113.00958667709392,188.52718474620355,male,extra,loss,3317.8836749183524,0.2584536959038538,0.4657591109654148,0.2757871931307314,4.332501008779842
26,116.00143188031585,189.62551634910304,male,moderate,gain,3470.7204495757114,0.26237308354699684,0.429999097045364,0.3076278194076392,3.8893701655235846
43,103.06829146199517,178.69368633498792,female,sedentary,loss,1753.9476432480633,0.4164194949372864,0.3840479924641804,0.1995325125985331,1.0
19,114.07572932811591,186.70886878325484,male,sedentary,gain,2831.140601771883,0.306443577216345,0.39038981019133523,0.30316661259231975,1.808237939771097
37,133.43575459521423,194.02618398009128,male,light,loss,2436.916008288324,0.26076805597553343,0.5062315019766158,0.23300044204785073,1.8506797273907485
45,117.1436408145726,180.2513232419301,female,sedentary,loss,1595.5157831365466,0.3810842816779259,0.37917365565179917,0.2397420626702749,1.8995304147704561
64,146.97655123093244,200.15912117110514,male,moderate,gain,4324.146142520672,0.33256763262569883,0.42449829895854174,0.24293406841575946,2.892075176182236
24,133.89219568458537,201.25161874014333,male,sedentary,loss,2395.0024538013827,0.34999980152560517,0.37510282137319884,0.27489737710119605,2.5934716844265617
61,113.705254818326,202.4505168653367,female,light,loss,2274.1973630091115,0.441039702823122,0.3018458793096558,0.2571144178672222,1.923503241845093
25,113.41318186611826,180.9210004419454,female,sedentary,gain,2721.927984899567,0.36804359273169823,0.37752302802480764,0.2544333792434941,1.8962149176700076
64,139.46384706435447,182.22133307256655,male,moderate,loss,3474.504300300984,0.3774023285275869,0.37030622994101614,0.25229144153139693,2.6439649236125957
52,117.05988363782843,188.27126924620273,female,extra,loss,3447.449063378218,0.340536648175516,0.4613431372935648,0.19812021453091921,3.518225984405355
31,136.13382340407586,187.27757482543961,female,light,loss,2489.512619627575,0.27892554544267456,0.4644561602717544,0.25661829428557104,1.7271361891291739
34,145.04361010190001,186.7430941717768,male,extra,gain,5026.841686381835,0.2420933436843962,0.48346985474064696,0.2744368015749568,2.7357114147579145
53,111.93670948263836,197.55758046957843,female,sedentary,gain,2286.6974571583105,0.36775313948530575,0.41525555979852513,0.21699130071616915,1.896303443150096
57,120.27933048902523,196.11671060977864,female,light,loss,1744.063473819731,0.4176713641867962,0.3951652398568066,0.18716339595639725,2.6600280193948658
21,129.70006276849568,181.2543500229947,male,light,loss,2517.752506693997,0.27595376544115724,0.45340856104775595,0.2706376735110868,2.1971830779377672
19,126.51250058533779,178.58837034192814,female,sedentary,loss,2071.8057939665023,0.31988974747826093,0.42038927378271174,0.25972097873902733,1.078730105845191
23,126.40736099380752,177.6092702712987,male,light,loss,2822.7280981388326,0.29025242096499065,0.4867782970271999,0.2229692820078094,2.9961632201773334
59,94.99789259233398,181.2094190800171,female,sedentary,gain,2143.216615184127,0.2956822962999941,0.48008864465817325,0.22422905904183268,1.9213418301229706
21,102.27374907757302,198.45889640233028,female,extra,loss,3148.561803084598,0.351101222440705,0.4632039682842186,0.1856948092750764,3.9154915141477074
46,107.57099468588218,191.433289716726,male,extra,loss,3199.008853144438,0.3437052234932002,0.45823745486791956,0.19805732163888026,4.831178299454916
35,133.21631205203013,199.2584917071055,female,moderate,loss,3447.9702702445347,0.366341243937514,0.45587727109091924,0.17778148497156676,3.1737564836228995
43,96.46937639309671,172.99980514436322,female,moderate,gain,2560.3532692004483,0.2722964168308818,0.4749125100464471,0.2527910731226711,2.668231026730742
61,137.84840060768258,192.7339110398529,female,sedentary,loss,1909.1078954882844,0.3267220480072853,0.35898409825936317,0.3142938537333515,2.086540318859984
51,126.69751171118024,192.6059114514006,female,sedentary,loss,1625.691782580442,0.3597596611496978,0.41738462270292376,0.2228557161473784,1.9697765966282743
27,132.31345337084161,202.0031830820027,female,extra,gain,4827.713983240969,0.27150769869389735,0.48574830544604064,0.24274399586006204,3.95610200811329
53,101.05700384132501,185.90907557843508,male,light,loss,1983.1613104604671,0.30252533386255515,0.49360717038400415,0.20386749575344074,2.114731460944282
31,116.08453544035196,185.20174562869775,female,sedentary,loss,1369.5293731873444,0.3242358433678557,0.48995934999029456,0.18580480664184976,2.090877865193708
48,119.48414179196975,205.0649957830526,male,light,loss,2793.9986514511043,0.334395235945274,0.43654941923631474,0.22905534481841125,1.3115597118487006
32,118.8245050303404,188.28986738957178,female,moderate,gain,3819.9680656530227,0.29746050415134995,0.5278289129509915,0.1747105828976585,3.2979048627030854
25,119.43486101270076,191.77270714706296,female,extra,gain,4091.718159366447,0.39181805983889156,0.27835794665464686,0.3298239935064616,4.444020523814832
31,110.85210279407333,194.7629871236008,male,sedentary,loss,1503.266478899097,0.33864940366245844,0.39788854719069244,0.2634620491468491,2.420326639664375
40,117.02810621595489,173.3224289629414,female,moderate,loss,2208.9971818716285,0.3447788829181122,0.42550635520688007,0.22971476187500767,2.2030680510398044
57,130.50345932597781,190.41102135718927,female,sedentary,gain,2258.1460264376847,0.42184409463880523,0.34354392639205855,0.23461197896913627,1.0451097563545353
38,97.50231537338665,177.54862322246734,female,moderate,gain,2687.2627942667523,0.3162546504148943,0.3939830177442706,0.2897623318408351,2.670655589811104
33,138.20575178358104,189.12370638028412,female,extra,loss,3303.24188051907,0.39355495337019714,0.4536814128058335,0.15276363382396937,3.873478134064632
62,129.7284843455267,187.0543624394685,male,sedentary,loss,2234.223124099847,0.32570624904760664,0.3739752260105367,0.30031852494185673,1.5738972847129964
35,100.52197160975,184.93631120795524,male,sedentary,loss,1819.7655735267942,0.33023242432629263,0.501604571769587,0.16816300390412045,2.5424138630552324
64,120.75754065182983,196.26672683568708,female,light,gain,2785.164251549972,0.4427449657121167,0.30218234109702746,0.25507269319085585,2.109677102388524
41,128.52248164237068,190.97396822074805,male,light,gain,2811.324562182293,0.27107395627993375,0.4447202194582174,0.2842058242618488,2.2725931181319754
43,96.47060014171474,179.39097533235477,male,sedentary,gain,2190.8736904833713,0.2769522675677325,0.6336378154322503,0.08940991700001721,1.6045916991574116
42,115.62967650064901,179.05156254773294,female,extra,gain,4478.081872849975,0.3116636500520826,0.38221698456347064,0.30611936538444673,3.1578813339246095
62,113.82227048747491,198.40150658103644,female,light,gain,2849.490244948862,0.294147789515245,0.4869609341311085,0.21889127635364647,1.8846821108236915
58,105.31629186239658,189.62221451794406,male,sedentary,loss,1746.7594974726037,0.29170426342265965,0.50156926918762,0.20672646738972036,2.4370468797587383
46,116.3853525514602,175.75899150272232,male,sedentary,loss,1792.7668051819403,0.3132094261187277,0.4464855009627343,0.24030507291853795,2.024401857506171
32,105.99570136055814,185.83504288940506,male,moderate,loss,2608.6867983337092,0.3549284609170224,0.3419918979766623,0.3030796411063153,3.5748585235719443
62,135.61460603456106,188.42551070784017,male,extra,gain,5199.212732924093,0.3367886989677532,0.4513363593860602,0.21187494164618653,3.7790137487405957
18,105.60033518008885,177.6607811153923,male,light,loss,2183.295332860057,0.3811358900642954,0.4340557057247514,0.18480840421095318,1.5831728142271946
42,126.87968410019738,183.63077761780443,male,light,gain,3203.94068779739,0.2300275936385731,0.4695347487856576,0.3004376575757693,1.5168031851828512
24,90.16920418569754,199.17854553245118,female,moderate,gain,3373.7196925508424,0.3232975211550792,0.39790163434501147,0.2788008444999094,2.4272335485564893
26,112.57285294225058,214.89628260386388,female,sedentary,loss,2127.4230340435124,0.3240617013099915,0.5635447848089988,0.11239351388100965,2.7180295234910465
41,115.18466736027038,193.02662259933282,male,light,loss,2444.107050341618,0.3274719198188004,0.4038291786213981,0.2686989015598014,2.4835202317180407
18,112.08563424076704,176.45128786367866,female,sedentary,loss,2484.0689989202874,0.3024190184684698,0.5260583351877189,0.17152264634381126,2.9699284917637865
61,109.05522554206914,187.82341584767477,female,light,loss,1803.9565899572146,0.31345693832304,0.4906034052155579,0.1959396564614021,2.8242178926986976
25,104.98727461982317,191.22029918169093,male,light,loss,2293.4272673969585,0.4638819800875183,0.33678120216353835,0.19933681774894338,2.6706965985955
41,126.31811170022354,197.86343650650372,male,sedentary,gain,2858.8759651132054,0.2512481807236959,0.4700770826833516,0.27867473659295255,1.2733436439561592
28,129.9918678264307,198.0999213913235,male,sedentary,gain,2577.363776662161,0.3353395770196918,0.443289026758374,0.22137139622193425,1.3109942999691797
34,113.76758671215025,203.64252790341774,female,light,gain,2875.6785304184586,0.3280862087614867,0.4689450432091642,0.2029687480293491,1.0
25,98.5504373796754,189.98449203018816,male,moderate,loss,2638.9748591100533,0.36792972059575946,0.3914951440826484,0.24057513532159217,3.5111881287122193
52,141.90923997080242,190.17678501836878,female,moderate,loss,2843.502879909559,0.4450169059454981,0.36113841084662235,0.19384468320787956,2.8867255314013196
52,101.8030385063818,171.1206305840853,female,moderate,loss,2022.8091127928558,0.357127769124371,0.41744143269043277,0.2254307981851962,3.697931659252848
50,93.1086661227528,179.87220846079464,male,moderate,loss,2181.170952253879,0.30987267284979075,0.4830752780523382,0.2070520490978711,2.781012601882079
22,84.81067125220345,176.37748218764068,female,moderate,gain,2489.0290587467052,0.3602053729563231,0.3311697941979158,0.3086248328457611,2.2655458780300415
59,116.4917784536899,181.5935844947709,male,sedentary,loss,1885.7901195307736,0.37885097045624744,0.3250521525331087,0.2960968770106439,1.9689350183597174
56,111.73875421727145,178.48128118275653,male,light,loss,2381.312137408316,0.3315516674320515,0.4457546637637826,0.22269366880416597,2.4507685916425617
58,130.46434973719508,179.15807491054528,female,moderate,loss,2648.0098784215493,0.3513320825614669,0.4002861469261936,0.24838177051233945,3.6836389022128175
45,124.16626845168321,200.89278233695313,male,extra,loss,3884.434093271387,0.40163631867036836,0.426421302044125,0.1719423792855066,3.800872407063108
24,119.35301836877557,170.76407142769366,male,light,loss,2834.780925933081,0.20489802350206163,0.6070196024516232,0.18808237404631512,2.108323473046827
26,110.92949206805875,188.01648578477457,male,extra,gain,3802.3176030872214,0.35381540197821815,0.3985874338174875,0.24759716420429434,4.356648323032388
25,131.649659082965,198.64157258467807,male,sedentary,loss,2791.7498845140626,0.41154176081082605,0.4058322708493344,0.18262596833983955,1.4313201966847684
29,143.010848526288,186.98507111003133,male,light,loss,2764.4512139284825,0.35783484513960795,0.5310828942559886,0.11108226060440335,2.793827690748859
51,130.13468798694856,203.27108427918986,male,sedentary,loss,2313.8895765977995,0.33831177130749407,0.5583099284473205,0.10337830024518546,2.0065544757296294
50,108.04702553726185,184.0042863068363,female,extra,gain,3692.0828205474872,0.2580552358023048,0.47706278455649465,0.2648819796412005,3.935353449005326
40,126.72348330823263,207.5074324063517,male,light,loss,2314.9363095633294,0.3841739574236736,0.29228898320973873,0.32353705936658766,2.8951398618462885
41,108.96865411799178,174.31382910063402,female,light,gain,2825.4882723432465,0.3138600916744947,0.51150730299157,0.17463260533393526,2.1258002542936296
54,98.42399026210038,203.28975586807758,male,sedentary,gain,2511.7908287855294,0.1730348476093081,0.5957963130922834,0.23116883929840853,1.7127129764853555
52,101.51441406817082,181.05761711619002,male,light,loss,1776.5010123663772,0.3449259764390956,0.5289662501330992,0.12610777342780521,2.202413608127488
61,109.62732393793381,204.4489842415938,female,extra,loss,3299.8235867696694,0.24687681840933337,0.5737198655539504,0.17940331603671625,3.765769278995995
57,116.55939518445317,185.31929221063373,female,sedentary,loss,1712.0232903255828,0.2272804233600869,0.5534282345339536,0.21929134210595952,2.7594077571435314
39,145.9087172886319,201.04591098903077,male,extra,loss,4950.540097828473,0.3954823704354931,0.5051980923186972,0.09931953724580976,3.685397733798914
44,101.77465786582198,202.7380080648679,male,light,gain,3199.448974634862,0.3230392699324246,0.36889706032716907,0.3080636697404064,1.8687603923573564
52,134.85232734536993,184.22047441822588,female,extra,gain,3643.604827775803,0.32651633978157646,0.44730689874901697,0.22617676146940663,4.697364719804578
18,110.24110672461147,200.21896801884938,female,light,gain,3299.1129927674288,0.2815351955177405,0.4600464101149683,0.25841839436729125,2.558115740083845
52,84.75422518831985,189.72033941222946,female,extra,gain,3436.3997468464368,0.30690599810551156,0.4304951274168185,0.26259887447766994,3.8475196435384094
54,107.41410995604494,175.3739777282681,female,extra,loss,2920.184160942613,0.3511320873183208,0.5007160930485561,0.14815181963312302,4.213909426535964
64,132.65045489751537,195.08309705660452,male,moderate,loss,3120.715150092266,0.40035136255750303,0.4788775026543559,0.12077113478814111,3.1337709932144615
31,120.17004278993853,179.83428862421536,female,light,gain,2848.3518824688213,0.32859476531134163,0.4830291308731046,0.18837610381555372,2.648016900182036
20,121.06676797995935,183.4698530191964,male,moderate,gain,3308.6496849968876,0.2747442379643212,0.33964713299054217,0.38560862904513665,3.04656003191399
18,134.9275601326657,181.07215696051477,female,moderate,gain,4055.305052686485,0.3123900644679406,0.3741889199357279,0.3134210155963315,3.4021855993472574
22,99.45495566596408,193.78217281011456,male,sedentary,gain,2503.5848318891954,0.2111349037016378,0.6026818781907708,0.18618321810759136,1.7474286174157485
43,99.22374354861624,180.1442125881245,female,sedentary,loss,1680.3946058472475,0.4000733735878563,0.40226706186404815,0.19765956454809555,2.0829790976930327
31,81.04407086055363,177.7364561455311,male,extra,gain,2740.0398405183946,0.285801892413476,0.468900800597821,0.24529730698870303,4.224427791709238
56,128.15623106864177,179.56628272203406,female,light,gain,2804.403398282821,0.27495844409453596,0.38062655936308654,0.3444149965423775,1.3108234711670366
44,123.43726350444405,182.90220642787204,female,sedentary,gain,2950.533504849151,0.3311777876009707,0.42512715596591666,0.24369505643311268,3.1012196068274225
26,125.85949779386671,194.9666879318064,female,moderate,gain,3565.3766487515413,0.25715462272349326,0.48214376817347715,0.2607016091030296,3.4378742611849726
32,97.25483163914829,199.09072242885478,female,light,loss,2223.2452009728404,0.32298932282310444,0.4437541853828445,0.23325649179405103,1.140983530784987
32,90.93626566120221,198.94747549964853,male,extra,gain,4539.712632304596,0.34000551944777807,0.5184507200230872,0.14154376052913464,3.6341576022043562
43,95.20572537350002,189.65244125953538,female,extra,gain,3988.6419819336297,0.28848927050830026,0.4632829583381328,0.24822777115356687,4.7030107307097735
59,101.16141591461944,189.39442207456605,female,sedentary,gain,2151.5421992166575,0.1927637458641815,0.48812506376278963,0.3191111903730288,1.7814253687500812
30,138.30938363369282,188.1627554431955,female,sedentary,gain,2890.053805811576,0.29027278202258133,0.4839801824721669,0.22574703550525174,1.5684311516151888
49,130.00190085673754,194.44152020821065,male,sedentary,gain,2877.5901916662765,0.25219509060514994,0.4292543564643634,0.3185505529304867,2.6078819336671386
56,108.1266903906952,201.19593555895636,male,extra,loss,3610.367856268282,0.37605643143854267,0.5089165694768764,0.11502699908458094,4.5655229577083665
49,119.48877989889978,188.48902194990723,female,moderate,gain,3102.8465536207027,0.3675121835646716,0.2976171602149127,0.3348706562204157,2.8791594614797265
21,104.82456630778393,195.32635743302347,male,sedentary,gain,2174.2885670822625,0.311568067060057,0.49628849113229534,0.19214344180764764,1.7002358336303978
47,120.46419641172486,177.59569542167762,male,extra,gain,4072.9977822203405,0.34737790107918554,0.3801301005929365,0.272491998327878,4.769520800879322
54,97.92856393387002,198.52674843615083,male,light,gain,2658.8161154467384,0.35634868155578187,0.35490578582894816,0.28874553261527,2.336733829438227
40,126.25377168960897,192.16068092253553,female,extra,loss,3883.308632128856,0.39145576287715933,0.48939133550674463,0.11915290161609603,3.711219158446473
56,102.2544505362341,179.6741756200614,male,light,loss,2273.895657716861,0.37418662413549686,0.3738454382672429,0.2519679375972602,2.102069575001994
62,127.08872542814736,200.6928455016735,male,light,loss,2417.247796350626,0.30897079999698795,0.5733496961702345,0.11767950383277757,2.2636986687590315
32,108.58865637708487,177.58781975976964,female,moderate,gain,2656.6480669484304,0.3000295705112548,0.45571703809596986,0.2442533913927753,3.5572140205003557
60,103.14886069602589,167.25084710879847,female,sedentary,loss,1768.9991254115907,0.3306202383581589,0.4431309872048099,0.22624877443703117,1.9990917743032561
46,139.19495075874485,198.46783348195075,female,light,gain,2987.960793139708,0.3590834442721164,0.37092203577294103,0.2699945199549426,2.294664602920417
53,117.65419277340648,193.85368911169297,male,sedentary,loss,2238.0840539995074,0.3952380107890312,0.41299639074485284,0.1917655984661159,2.5252436345045775
30,110.16727943427163,177.88981648297798,female,extra,loss,3064.12122705431,0.28978867557769095,0.48529058004587633,0.22492074437643275,4.677694205181253
49,126.37267462526896,193.5535288123952,male,sedentary,loss,2034.38327110176,0.2709437372121565,0.5227361572709973,0.20632010551684624,1.476576662304495
24,94.90013395637672,201.6987825164613,male,extra,loss,3282.1670359458835,0.35472473526348025,0.5933821957279464,0.05189306900857338,3.77147356691233
39,131.60295383890536,192.6117754643333,female,light,gain,3053.4488840545164,0.3924653454642597,0.36535233945512013,0.2421823150806202,3.0660336530462313
45,112.90832940387325,214.38550473075927,female,moderate,loss,3065.770620061166,0.3724117809502264,0.4096993499221726,0.21788886912760091,3.162549987882715
19,124.01181573502656,181.48985746130867,female,light,loss,2445.5093200548763,0.2759668311811929,0.5066442300859025,0.21738893873290455,2.0477048423380255
59,91.7818980846537,167.64342385343417,female,extra,gain,3132.6603448118512,0.38709383188962687,0.3732788031555876,0.23962736495478548,3.467448166525383
62,109.26361062800507,175.8903234414705,female,light,loss,1761.666566773185,0.39176761882250755,0.3940112317324017,0.21422114944509077,2.0230249525047563
23,115.06870209018226,167.05618490596297,female,moderate,loss,2134.306235234936,0.4098943790491214,0.420689396204874,0.16941622474600457,3.1802535480109677
45,130.45448820427794,211.38897857163397,male,sedentary,loss,2362.9122644155173,0.2705827574237747,0.5108977533109977,0.2185194892652276,1.400892787203578
45,125.20616595906225,189.95059461973253,female,extra,gain,4239.166452015154,0.2738042659171797,0.4857937091853568,0.24040202489746343,4.354779264276174
61,109.11284443573875,209.39102053894445,male,sedentary,gain,2376.5879507659,0.45492823921638437,0.33735059003939005,0.20772117074422564,2.3490571780914102
61,119.76921635985072,186.4544650063734,male,moderate,loss,2940.9744037540418,0.42637161227146814,0.40705484614356124,0.16657354158497062,2.625936757748185
37,133.84853652590473,180.949116411689,male,light,loss,2938.43222671089,0.3772252965709455,0.394437226299984,0.22833747712907043,2.6987817913408576
47,112.0001727486616,172.69925121772263,male,moderate,gain,3283.5897988905326,0.309043087514232,0.3744929881077341,0.31646392437803383,3.088104203700521
28,110.36702559347039,186.03246569617593,male,extra,gain,3818.600971792684,0.25507592178109717,0.5082978316843172,0.23662624653458567,4.178164526391978
45,86.65443035870632,198.44208648834802,male,extra,loss,3380.5741602823487,0.46987911820343853,0.3424416413991822,0.18767924039737932,3.299406084851654
42,110.81391496985785,187.753877675305,female,light,gain,2376.1974053659833,0.2892844448859374,0.46120766817626935,0.24950788693779327,2.3072787050407175
56,88.90559441973218,174.02492425247195,male,extra,loss,3402.1732806598666,0.38089858594702225,0.41479079885472303,0.20431061519825466,4.500756192097717
50,113.2849798145019,196.5312461504803,male,moderate,gain,2929.022256382308,0.3124835414299378,0.5188783409528901,0.16863811761717218,3.703859256150691
18,129.8220271486412,198.38797621001095,male,extra,gain,4204.557902763273,0.3497384169424461,0.35964689535208105,0.2906146877054728,4.7368826900267385
44,83.20540787429778,184.70145289406258,female,sedentary,loss,1295.157296548329,0.3470870250160227,0.4037698084151069,0.24914316656887045,2.1736705517742303
30,133.51313236931185,183.44945289726337,male,moderate,loss,3275.123396165968,0.38688740411558925,0.4297262597773457,0.183386336107065,2.5185574122814316
58,110.04665310015702,172.90654281158106,male,moderate,loss,2246.1540887138744,0.34553555858348856,0.491744369254979,0.16272007216153245,2.857174703584184
20,114.59252699310092,196.2806799693197,female,extra,gain,4202.237986568428,0.3759297535480286,0.42896025235917024,0.1951099940928012,3.620675645616524
56,107.46370329792188,185.37670982921557,female,light,loss,1955.9987883270442,0.29848796640881475,0.6536533422138207,0.04785869137736465,1.692158435453923
23,89.30144676177011,163.21219866000393,female,light,loss,1705.158334247489,0.3591011098338935,0.4893282778743553,0.15157061229175123,2.8364581365813386
25,103.25516238555639,175.14912946175625,male,light,gain,3189.8461394126293,0.24460037363018855,0.5359678448174066,0.21943178155240495,1.656557723500891
44,146.46115102674227,195.62218385397284,female,extra,gain,4090.4654639526575,0.35738071722754394,0.44595195588599446,0.1966673268864616,4.052446988522405
26,98.55931755619822,186.5808629446167,female,extra,loss,2877.902817461983,0.3400302913644941,0.4085119863588621,0.2514577222766438,4.158791543460152
54,91.17186457411674,178.64542109013271,female,extra,gain,3352.3735936151916,0.3158013131014021,0.41002562875144477,0.2741730581471531,3.475900970261903
50,117.11936541110654,190.537928778474,male,moderate,loss,2592.179421628118,0.36852401027638393,0.46762104144739725,0.16385494827621885,2.8240613598980735
59,113.71335227241525,181.59952605817907,female,moderate,gain,3097.6856225269407,0.3552006105581483,0.3520808203550345,0.29271856908681726,3.7993714571012847
61,110.15005313806529,183.57225851973084,male,extra,gain,3959.9911126820443,0.30590358961823316,0.4771788417706537,0.21691756861111305,4.277310852896841
41,115.21671915028384,187.30470579354835,male,light,gain,3510.214714570932,0.27188000489807324,0.45582319921535897,0.27229679588656786,2.5594465506163964
32,124.66303916044235,206.85491771709405,female,sedentary,gain,2623.336397543582,0.32744876061728423,0.39225735371133363,0.28029388567138214,1.0
49,106.19254600322029,206.80762002593832,male,light,loss,2278.457550026292,0.2942264801427601,0.5313653861514773,0.17440813370576264,1.7916523247388407
49,117.91615312423924,170.28820425641808,male,moderate,gain,3293.0188503771283,0.34533194003320955,0.3436839346919177,0.31098412527487274,3.0874262594899626
41,130.35811993195006,189.35390854920044,male,moderate,loss,3440.1232889649073,0.39151601121386376,0.4127567396546292,0.19572724913150702,3.732990919099035
